108,146,35,36
109,190,33,34
110,234,32,33
109,276,32,35
218,149,30,30
216,191,31,33
216,249,31,35
216,292,31,34
216,366,32,32
217,408,28,29
216,465,32,34
215,508,34,37
214,565,34,34
256,146,35,37
257,190,34,35
258,249,32,33
258,291,33,36
257,364,33,35
258,408,32,35
258,467,33,35
257,508,33,37
257,568,32,33
300,147,32,36
299,190,31,34
299,251,32,31
301,293,31,34
300,364,33,35
299,407,31,33
299,466,33,36
300,510,31,35
299,567,33,32
344,148,30,35
343,190,32,34
342,249,33,35
342,294,32,32
341,364,32,34
342,406,34,36
342,466,35,35
341,509,34,36
342,564,31,36
384,148,30,30
384,190,32,33
384,249,34,35
384,292,32,33
383,362,34,35
385,407,32,35
384,467,33,35
383,508,33,35
384,565,32,35
